company,stock_name,fye,qtr,qrd,date_announced,cipr,pipr,ccpr,pcpr,cippl,pippl,ccppl,pcppl,cipplt,pipplt,ccpplt,pcpplt,ref
KIM LOONG RESOURCES BERHAD,"KMLOONG  
 ",31/1/2014,2,31/7/2013,27 Sept 2013  ,142031,154484,279341,312246,"16,515","22,217","40,584","50,822","12,434","16,576","30,376","38,292",601333
MULTI-CODE ELECTRONICS INDUSTRIES (M) BHD,"MULTICO  
 ",31/7/2013,4,31/7/2013,27 Sept 2013  ,28170,30996,109173,111091,"2,596","4,580","3,586","14,708","1,977","3,462","29,200","10,786",601341
FARM'S BEST BERHAD,"FARMBES  
 ",31/12/2013,2,30/6/2013,29 Aug 2013  ,101760,87029,218178,163662,"2,050","1,272","3,204","-1,759","1,841",748,"2,249","-2,683",601351
PATIMAS COMPUTERS BERHAD,"PATIMAS  
 ",31/3/2014,1,30/6/2013,28 Aug 2013  ,2762,11533,2762,11533,"-2,551","-4,927","-2,551","-4,927","-1,868","-4,927","-1,868","-4,927",601375
KULIM (MALAYSIA) BERHAD,"KULIM  
 ",31/12/2013,2,30/6/2013,28 Aug 2013  ,792291,856296,1507109,1602567,"33,456","155,359","66,078","277,500","91,992","179,457","455,899","323,033",601383
HONG LEONG CAPITAL BERHAD,"HLCAP  
 ",30/6/2013,4,30/6/2013,29 Aug 2013  ,62112,52459,240068,188780,"21,877","16,605","67,933","51,899","60,063","11,977","90,221","38,777",601384
MULTI SPORTS HOLDINGS LTD,"MSPORTS  
 ",31/12/2013,2,30/6/2013,23 Aug 2013  ,95660,97506,171028,197167,"17,459","21,912","28,720","45,487","12,069","16,253","19,591","33,779",601388
OPENSYS (M) BERHAD,"OPENSYS  
 ",31/12/2013,2,30/6/2013,23 Aug 2013  ,9380,7571,16776,17994,"1,806",802,"3,211","2,628","1,346",550,"2,366","1,934",601392
PUC FOUNDER (MSC) BERHAD,"PUC  
 ",31/12/2013,2,30/6/2013,28 Aug 2013  ,6110,4813,11521,9106,774,360,"1,407",920,580,270,"1,054",689,601421
AXIS REAL ESTATE INVESTMENT TRUST,"AXREIT  
 ",31/12/2011,2,30/6/2011,25 Jul 2011  ,28436,21021,55684,40869,"15,783","21,879","32,270","36,147","15,835","21,879","32,322","36,147",601433
CYBERTOWERS BERHAD,"CYBERT  
 ",31/8/2011,3,31/5/2011,26 Jul 2011  ,1016,1012,2723,3207,118,113,-11,78,118,113,-11,78,601452
UDS CAPITAL BERHAD,"UDSCAP  
 ",31/8/2011,3,31/5/2011,27 Jul 2011  ,21879,40809,65649,111649,835,544,"1,138","-1,770",835,544,"1,138","-1,770",601455
SUNCHIRIN INDUSTRIES (MALAYSIA) BERHAD,"SUNCRN  
 ",31/12/2011,2,30/6/2011,3 Aug 2011  ,33652,37348,75920,76670,-269,"2,364","1,647","5,671",-358,"1,763","1,301","4,919",601464
OPCOM HOLDINGS BERHAD,"OPCOM  
 ",31/3/2012,1,30/6/2011,20 Jul 2011  ,33051,30599,33051,30599,"9,664","7,065","9,664","7,065","7,235","5,236","7,235","5,236",601466
TENAGA NASIONAL BHD,"TENAGA  
 ",31/8/2011,3,31/5/2011,21 Jul 2011  ,7768100,7723300,22998000,22450700,"-601,400","1,286,800","1,118,500","3,522,200","-458,500","1,109,300","887,900","2,808,300",601472
FAR EAST HOLDINGS BERHAD,"FAREAST  
 ",31/12/2011,2,30/6/2011,10 Aug 2011  ,130873,84398,241734,177199,"37,908","20,822","64,814","44,658","30,076","17,149","51,652","36,803",601475
PLB ENGINEERING BERHAD,"PLB  
 ",31/8/2011,3,31/5/2011,27 Jul 2011  ,29745,19949,57068,68658,36,"2,400","3,829","3,005",255,"2,359","3,616","2,690",601477
PHARMANIAGA BERHAD,"PHARMA  
 ",31/12/2011,2,30/6/2011,10 Aug 2011  ,396435,350335,781763,667895,"19,380","20,327","41,172","32,758","14,045","14,518","29,644","23,827",601478
GUINNESS ANCHOR BERHAD,"GAB  
 ",30/6/2011,4,30/6/2011,4 Aug 2011  ,348759,308713,1488720,1358633,"37,725","47,822","242,883","204,991","29,076","35,477","181,378","152,691",601485
IFCA MSC BERHAD,"IFCAMSC  
 ",31/12/2011,2,30/6/2011,16 Aug 2011  ,8043,9148,16565,21578,799,152,281,"2,321",799,154,278,"2,320",601525
D'NONCE TECHNOLOGY BHD,"DNONCE  
 ",31/8/2011,3,31/5/2011,27 Jul 2011  ,46541,47494,126708,139249,"1,406","1,289","4,305","3,102",954,835,"2,740","2,283",601528
FIBON BERHAD,"FIBON  
 ",31/5/2011,4,31/5/2011,28 Jul 2011  ,4233,2746,14498,12891,"1,546","1,043","5,945","5,010","1,144",646,"4,389","4,014",601529
WELLCALL HOLDINGS BERHAD,"WELLCAL  
 ",30/9/2011,3,30/6/2011,15 Aug 2011  ,38109,25266,99612,68413,"6,383","4,022","16,280","12,284","4,860","3,513","10,780","11,081",601530
ELSOFT RESEARCH BERHAD,"ELSOFT  
 ",31/12/2011,2,30/6/2011,15 Aug 2011  ,3026,2261,5412,6703,"1,213",730,"2,005","2,791","1,187",719,"1,966","2,732",601537
TOWER REAL ESTATE INVESTMENT TRUST,"TWRREIT  
 ",31/12/2011,2,30/6/2011,28 Jul 2011  ,12272,12150,25121,23186,"7,456","7,316","15,955","14,431","7,456","7,316","15,955","14,431",601546
TOMYPAK HOLDINGS BERHAD,"TOMYPAK  
 ",31/12/2011,2,30/6/2011,18 Aug 2011  ,54782,44232,106137,91346,"3,021","3,718","6,291","9,371","2,757","3,475","5,761","8,625",601550
HANDAL RESOURCES BERHAD,"HANDAL  
 ",31/12/2011,2,30/6/2011,22 Aug 2011  ,21945,23561,38384,40684,"4,108","6,690","5,319","10,353","3,036","5,358","4,041","8,189",601563
MALAYAN BANKING BERHAD,"MAYBANK  
 ",30/6/2011,4,30/6/2011,22 Aug 2011  ,5720999,4737314,21039643,18560232,"1,728,529","1,359,094","6,270,467","5,370,408","1,253,222","975,033","4,619,758","3,968,450",601566
EKOWOOD INTERNATIONAL BERHAD,"EKOWOOD  
 ",31/12/2011,2,30/6/2011,19 Aug 2011  ,15300,15804,31860,35068,-911,"-2,623","-2,493","-5,116",-922,"-3,029","-2,593","-5,335",601569
PRINSIPTEK CORPORATION BERHAD,"PSIPTEK  
 ",31/12/2011,2,30/6/2011,22 Aug 2011  ,32539,50419,66417,82967,"1,772","1,116","2,841","2,782",766,566,"1,591","1,467",601570
KEY ASIC BERHAD,"KEYASIC  
 ",31/12/2011,2,30/6/2011,18 Aug 2011  ,4671,6090,9479,13362,"-4,834","-5,372","-9,325","-9,304","-4,881","-5,416","-9,385","-9,391",601574
EDUSPEC HOLDINGS BERHAD,"EDUSPEC  
 ",30/9/2011,3,30/6/2011,22 Aug 2011  ,9342,,21554,,"2,034",,420,,"1,940",,183,,601577
PBA HOLDINGS BHD,"PBA  
 ",31/12/2011,2,30/6/2011,22 Aug 2011  ,64574,50209,120887,99063,"15,599","7,293","28,842","13,948","12,142","5,759","23,177","11,133",601580
LII HEN INDUSTRIES BHD.,"LIIHEN  
 ",31/12/2011,2,30/6/2011,18 Aug 2011  ,73773,71570,130067,138313,"2,371","8,418","4,984","18,095","1,880","6,204","3,735","13,624",601582
EVERSENDAI CORPORATION BERHAD,"SENDAI  
 ",31/12/2011,2,30/6/2011,19 Aug 2011  ,258145,,465995,,"42,482",,"68,810",,"40,843",,"66,320",,601595
MNRB HOLDINGS BERHAD,"MNRB  
 ",31/3/2012,1,30/6/2011,22 Aug 2011  ,398893,386687,398893,386687,"51,785","35,635","51,785","35,635","42,964","26,139","42,964","26,139",601602
SCOMI MARINE BHD,"SCOMIMR  
 ",31/12/2011,2,30/6/2011,23 Aug 2011  ,89892,101013,194661,203851,"6,259","53,819","13,774","73,250","4,734","56,265","10,686","80,559",601609
MAA HOLDINGS BERHAD,"MAA  
 ",31/12/2011,2,30/6/2011,23 Aug 2011  ,602861,544846,1091446,1084916,"19,176","-6,117","43,957","2,243","12,253","-5,000","28,767",134,601615
DIGISTAR CORPORATION BERHAD,"DIGISTA  
 ",30/9/2011,3,30/6/2011,23 Aug 2011  ,24855,35980,75991,65754,"7,648","1,301","19,944","2,665","6,002","1,143","15,018","2,097",601618
B.I.G. INDUSTRIES BERHAD,"BIG  
 ",31/12/2011,2,30/6/2011,23 Aug 2011  ,21387,18714,40683,35995,-590,"-1,703","-3,906","-1,420",-642,"-1,793","-5,778","-1,570",601620
HAP SENG PLANTATIONS HOLDINGS BERHAD,"HSPLANT  
 ",31/12/2011,2,30/6/2011,23 Aug 2011  ,182396,100824,326447,202225,"102,237","48,941","179,290","97,954","75,911","36,334","133,668","72,809",601625
DELLOYD VENTURES BERHAD,"DELLOYD  
 ",31/3/2012,1,30/6/2011,23 Aug 2011  ,122123,0,122123,0,"20,046",0,"20,046",0,"15,219",0,"15,219",0,601653
HARRISONS HOLDINGS (MALAYSIA) BERHAD,"HARISON  
 ",31/12/2011,2,30/6/2011,22 Aug 2011  ,322671,296464,643469,587931,"12,104","11,344","23,837","23,117","8,732","8,309","17,264","17,062",601655
PELANGI PUBLISHING GROUP BHD.,"PPG  
 ",30/9/2011,3,30/6/2011,23 Aug 2011  ,12438,10170,46944,43849,404,657,"7,769","6,701",103,503,"5,703","5,024",601656
UMS HOLDINGS BERHAD,"UMS  
 ",30/9/2011,3,30/6/2011,25 Aug 2011  ,22234,18508,60891,54791,"4,222","2,814","10,366","7,793","3,324","1,953","7,767","5,444",601662
SARAWAK PLANTATION BERHAD,"SWKPLNT  
 ",31/12/2011,2,30/6/2011,25 Aug 2011  ,130249,68121,220392,143571,"30,058","12,901","51,452","28,665","22,397","9,216","38,792","21,024",601677
CENTURY BOND BHD,"CENBOND  
 ",31/3/2012,1,30/6/2011,25 Aug 2011  ,45668,42633,45668,42633,"5,867","4,658","5,867","4,658","4,631","3,317","4,631","3,317",601691
ENG KAH CORPORATION BERHAD,"ENGKAH  
 ",31/12/2011,2,30/6/2011,25 Aug 2011  ,23115,24038,48417,43120,"4,977","4,159","9,557","6,908","4,420","3,539","7,792","5,473",601695
OSK HOLDINGS BERHAD,"OSK  
 ",31/12/2011,2,30/6/2011,25 Aug 2011  ,242882,209439,546715,454902,"17,181","23,903","90,388","82,089","11,638","18,625","64,918","58,673",601696
AE MULTI HOLDINGS BERHAD,"AEM  
 ",31/12/2011,2,30/6/2011,25 Aug 2011  ,12465,12039,25676,24297,-467,-483,"-1,506","-1,858",-467,-483,"-1,506","-1,858",601713
JADI IMAGING HOLDINGS BERHAD,"JADI  
 ",31/12/2011,2,30/6/2011,23 Aug 2011  ,23986,27259,46885,52160,"2,461","5,678","4,821","10,015","2,108","5,138","4,145","8,823",601722
HEITECH PADU BERHAD,"HTPADU  
 ",31/12/2011,2,30/6/2011,24 Aug 2011  ,97564,81632,168625,159922,110,"1,300",938,"5,302",-134,"1,088",388,"3,652",601723
HOCK LOK SIEW CORPORATION BHD,"HLSCORP  
 ",31/12/2011,2,30/6/2011,24 Aug 2011  ,3790,4656,7804,8819,328,-964,-222,-893,328,-964,-222,-893,601726
GENTING PLANTATIONS BERHAD,"GENP  
 ",31/12/2011,2,30/6/2011,24 Aug 2011  ,364382,231168,635498,442759,"190,934","95,586","323,017","190,361","141,116","70,489","235,928","140,561",601738
EXCEL FORCE MSC BERHAD,"EFORCE  
 ",31/12/2011,2,30/6/2011,24 Aug 2011  ,4185,3494,7703,6710,"1,547","1,590","3,163","2,987","1,531","1,571","3,124","2,953",601744
NPC RESOURCES BERHAD,"NPC  
 ",31/12/2011,2,30/6/2011,25 Aug 2011  ,125619,94625,202033,184937,"12,235","9,839","20,348","25,111","9,130","7,249","14,593","18,710",601747
TRC SYNERGY BERHAD,"TRC  
 ",31/12/2011,2,30/6/2011,25 Aug 2011  ,101051,97032,201604,205796,"2,867","9,768","10,792","15,906","2,508","7,511","8,408","10,563",601758
TANJUNG OFFSHORE BERHAD,"TGOFFS  
 ",31/12/2011,2,30/6/2011,24 Aug 2011  ,183123,137153,283694,264701,"8,361","3,823","5,772","8,221","7,538","3,592","4,433","6,660",601779
PETERLABS HOLDINGS BERHAD,"PLABS  
 ",31/12/2011,2,30/6/2011,26 Aug 2011  ,11824,0,22974,0,999,0,"2,808",0,694,0,"2,023",0,601793
FOCUS POINT HOLDINGS BERHAD,"FOCUSP  
 ",31/12/2011,2,30/6/2011,26 Aug 2011  ,30647,17382,59140,17382,"2,006","4,583","3,639","4,583","1,415","3,824","2,623","3,824",601796
PETROL ONE RESOURCES BERHAD,"PETONE  
 ",30/6/2011,4,30/6/2011,29 Aug 2011  ,7821,9449,30541,30987,"-25,463","-3,179","-38,058","-2,446","-15,243","-4,177","-27,027","-3,543",601798
LIPO CORPORATION BERHAD,"LIPO  
 ",30/6/2011,4,30/6/2011,26 Aug 2011  ,19051,12937,67466,42338,"3,515","1,578","12,110","5,252","2,501","1,351","9,435","4,431",601803
CONNECTCOUNTY HOLDINGS BERHAD,"CONNECT  
 ",31/12/2011,2,30/6/2011,26 Aug 2011  ,11832,16434,23560,32174,-483,274,-466,612,38,274,55,609,601804
WANG-ZHENG BERHAD,"WANGZNG  
 ",31/12/2011,2,30/6/2011,26 Aug 2011  ,65481,58532,135064,119140,"6,124","4,230","10,618","10,079","4,602","3,172","8,000","7,559",601808
KUB MALAYSIA BERHAD,"KUB  
 ",31/12/2011,2,30/6/2011,26 Aug 2011  ,179270,159541,340257,357782,233,"3,202","-2,351","7,226",-709,"2,486","-4,575","5,723",601810
SOZO GLOBAL LIMITED,"SOZO  
 ",31/12/2011,2,30/6/2011,26 Aug 2011  ,102719,105538,190633,184461,"41,463","34,661","76,296","58,254","30,924","26,065","57,125","43,553",601811
METRONIC GLOBAL BERHAD,"MTRONIC  
 ",31/12/2011,2,30/6/2011,26 Aug 2011  ,18969,21724,29978,31287,"1,010","3,427","-1,179","-1,622",719,"3,509","-1,491","-1,555",601819
BREM HOLDING BERHAD,"BREM  
 ",31/3/2012,1,30/6/2011,26 Aug 2011  ,45120,25714,45120,25714,"9,684","7,443","9,684","7,443","7,028","5,758","7,028","5,758",601825
MY E.G. SERVICES BERHAD,"MYEG  
 ",30/6/2011,4,30/6/2011,26 Aug 2011  ,17898,13309,58833,46018,"7,962","5,855","22,960","21,009","7,918","5,825","22,814","20,852",601826
PRIVASIA TECHNOLOGY BERHAD,"PRIVA  
 ",31/12/2011,2,30/6/2011,26 Aug 2011  ,10045,5747,19598,11826,693,-333,"1,892",-136,557,-333,"1,575",-136,601832
BTM RESOURCES BERHAD,"BTM  
 ",31/12/2011,2,30/6/2011,26 Aug 2011  ,3512,3568,6170,5586,-87,-976,-684,"-2,387",-89,-976,-690,"-2,387",601854
PARAGON UNION BERHAD,"PARAGON  
 ",31/12/2011,2,30/6/2011,26 Aug 2011  ,12273,13337,27081,25357,-536,-709,187,-965,-536,-709,187,-965,601856
CHOO BEE METAL INDUSTRIES BHD,"CHOOBEE  
 ",31/12/2011,2,30/6/2011,26 Aug 2011  ,120469,98113,229463,197686,"9,178","9,527","21,227","22,837","7,206","7,506","16,642","18,331",601864
PRESS METAL BERHAD,"PMETAL  
 ",31/12/2011,2,30/6/2011,25 Aug 2011  ,593255,449507,1064841,844519,"36,757","20,965","69,980","61,551","26,607","16,076","50,984","51,173",601873
AT SYSTEMATIZATION BERHAD,"AT  
 ",29/2/2012,2,31/8/2011,25 Oct 2011  ,8158,9716,16509,17324,127,553,656,451,29,503,460,351,601898
MWE HOLDINGS BERHAD,"MWE  
 ",31/12/2011,3,30/9/2011,10 Nov 2011  ,117693,114468,365026,345685,"15,711","14,869","46,384","41,549","12,654","12,271","36,846","33,539",601900
CYL CORPORATION BERHAD,"CYL  
 ",31/1/2012,2,31/7/2011,27 Sept 2011  ,15837,15839,31589,35943,982,519,"1,836","2,156",882,469,"1,636","2,006",601913
ADVENTA BERHAD,"ADVENTA  
 ",31/10/2011,3,31/7/2011,28 Sept 2011  ,103577,87384,314065,245158,"3,006","8,479","9,570","26,265","4,022","8,195","12,687","24,028",601921
KUANTAN FLOUR MILLS BHD,"KFM  
 ",31/3/2012,1,30/6/2011,5 Sept 2011  ,13733,18613,13733,18613,"-1,171",211,"-1,171",211,"-1,171",211,"-1,171",211,601927
KAF-SEAGROATT & CAMPBELL BERHAD,"KAF  
 ",31/5/2012,1,31/8/2011,20 Oct 2011  ,8611,7254,8611,7254,"2,944","10,077","2,944","10,077","1,612","7,475","1,612","7,475",601928
YUNG KONG GALVANISING INDUSTRIES BHD,"YUNKONG  
 ",31/12/2011,3,30/9/2011,8 Nov 2011  ,97660,104986,325376,347299,"-7,311","2,598","-8,596","18,310","-5,465","1,841","-6,736","13,618",601937
KYM HOLDINGS BERHAD,"KYM  
 ",31/1/2012,2,31/7/2011,28 Sept 2011  ,19324,16534,36662,31228,97,"-2,631",-110,"-2,134",97,"-2,631",-110,"-2,134",601944
NV MULTI CORPORATION BERHAD,"NVMULTI  
 ",31/12/2011,3,30/9/2011,14 Oct 2011  ,0,4091,0,9699,-131,"1,945",284,"3,088",268,"1,164",528,"2,271",601959
ZHULIAN CORPORATION BERHAD,"ZHULIAN  
 ",30/11/2011,3,31/8/2011,14 Oct 2011  ,91795,73468,270705,237715,"29,768","23,962","80,906","76,075","24,321","19,713","67,310","62,430",601962
MHC PLANTATIONS BHD.,"MHC  
 ",31/12/2011,3,30/9/2011,27 Oct 2011  ,8596,7824,26291,19222,"9,624","13,741","28,831","21,208","8,526","12,618","25,088","18,853",601963
DXN HOLDINGS BHD,"DXN  
 ",29/2/2012,2,31/8/2011,18 Oct 2011  ,63958,82458,132053,150258,"15,034","15,311","28,118","27,834","11,828","12,443","21,141","22,546",601973
SELANGOR PROPERTIES BERHAD,"SPB  
 ",31/10/2011,3,31/7/2011,29 Sept 2011  ,90390,42528,189083,150793,"34,720","15,703","83,014","11,944","31,701","9,111","71,510","-5,137",601976
V.S. INDUSTRY BERHAD,"VS  
 ",31/7/2011,4,31/7/2011,29 Sept 2011  ,262627,249513,1028993,800170,"-8,884","11,505","37,159","36,819","-10,710","8,464","21,436","23,531",601983
SAM ENGINEERING & EQUIPMENT (M) BERHAD,"SAM  
 ",31/3/2012,2,30/9/2011,11 Oct 2011  ,152889,105189,255770,149933,"5,052","13,158","9,072","16,985","4,213","12,180","7,872","15,176",601984
FLONIC HI-TEC BHD,"FLONIC  
 ",31/1/2012,2,31/7/2011,29 Sept 2011  ,1600,2579,6449,3630,27,"-1,524",84,"-2,068",27,"-1,524",84,"-2,585",601987
BORNEO OIL BERHAD,"BORNOIL  
 ",31/1/2012,2,31/7/2011,22 Sept 2011  ,5723,5118,10987,9818,-947,-700,"-1,722","-2,535",-947,-700,"-1,722","-2,535",601990
EUPE CORPORATION BERHAD,"EUPE  
 ",29/2/2012,2,31/8/2011,25 Oct 2011  ,40973,26016,75260,53215,"3,113","1,675","5,711","2,878","2,054","1,078","3,674","1,718",601992
BERJAYA CORPORATION BERHAD,"BJCORP  
 ",30/4/2012,1,31/7/2011,29 Sept 2011  ,1787757,1744567,1787757,1744567,"390,397","237,783","390,397","237,783","343,077","187,390","343,077","187,390",601995
BOILERMECH HOLDINGS BERHAD,"BOILERM  
 ",30/4/2012,1,31/7/2011,23 Sept 2011  ,35147,0,35147,0,"4,839",0,"4,839",0,"3,552",0,"3,552",0,602004
SINOTOP HOLDINGS BERHAD,"SINOTOP  
 ",31/12/2011,3,30/9/2011,18 Nov 2011  ,41900,73536,110056,223489,"4,660","-4,625","8,574","24,019","4,446","-6,459","7,861","18,605",602006
HOCK HENG STONE INDUSTRIES BHD,"HOKHENG  
 ",31/12/2011,3,30/9/2011,21 Nov 2011  ,8939,11591,31017,28121,585,817,"1,719","2,078",430,606,"1,265","1,521",602007
VITROX CORPORATION BERHAD,"VITROX  
 ",31/12/2011,3,30/9/2011,18 Nov 2011  ,18084,25102,66877,64206,"6,545","9,442","21,907","24,016","6,360","9,178","21,473","23,447",602047
MANAGEPAY SYSTEMS BERHAD,"MPAY  
 ",31/12/2011,3,30/9/2011,18 Nov 2011  ,2480,0,7253,0,-669,0,-934,0,-780,0,"-1,074",0,602055
PAN MALAYSIA CAPITAL BERHAD,"PMCAP  
 ",31/12/2011,3,30/9/2011,17 Nov 2011  ,6075,4870,18651,15144,"-1,340",-606,"-4,108","-2,661","-1,280",-777,"-4,217","-3,019",602058
TURBO-MECH BERHAD,"TURBO  
 ",31/12/2011,3,30/9/2011,14 Nov 2011  ,8989,9483,32930,28284,"2,666","3,217","8,047","9,236","2,388","2,769","7,135","7,764",602064
CARLSBERG BREWERY MALAYSIA BERHAD,"CARLSBG  
 ",31/12/2011,3,30/9/2011,15 Nov 2011  ,401661,329492,1154388,1042101,"68,906","46,825","174,153","136,628","48,986","34,176","129,609","103,369",602072
IMASPRO CORPORATION BERHAD,"IMASPRO  
 ",30/6/2012,1,30/9/2011,16 Nov 2011  ,14460,18412,14460,18412,"1,384","2,617","1,384","2,617","1,069","2,089","1,069","2,089",602073
TOWER REAL ESTATE INVESTMENT TRUST,"TWRREIT  
 ",31/12/2011,3,30/9/2011,15 Nov 2011  ,13307,12975,38428,36161,"6,531","7,777","22,486","22,208","6,531","7,777","22,486","22,208",602096
OCB BERHAD,"OCB  
 ",31/12/2011,3,30/9/2011,22 Nov 2011  ,59235,128174,176524,336195,567,"-19,695","6,775","-17,543",134,"-20,332","4,782","-19,805",602098
SOUTHERN STEEL BERHAD,"SSTEEL  
 ",30/6/2012,1,30/9/2011,15 Nov 2011  ,734004,0,734004,0,"17,326",0,"17,326",0,"15,577",0,"15,577",0,602103
DEGEM BERHAD,"DEGEM  
 ",31/12/2011,3,30/9/2011,22 Nov 2011  ,56978,44131,156854,125507,"8,154","4,538","20,162","13,183","6,232","2,863","14,775","9,003",602108
MULTI SPORTS HOLDINGS LTD,"MSPORTS  
 ",31/12/2011,3,30/9/2011,24 Nov 2011  ,119342,76067,310430,220181,"31,128","20,745","79,238","61,699","24,755","17,820","59,234","53,226",602133
KRETAM HOLDINGS BERHAD,"KRETAM  
 ",31/12/2011,3,30/9/2011,25 Nov 2011  ,63636,34525,173501,98831,"25,321","16,171","84,992","40,543","18,955","12,258","64,837","30,313",602134
MCLEAN TECHNOLOGIES BERHAD,"MCLEAN  
 ",31/12/2011,3,30/9/2011,24 Nov 2011  ,10481,6348,27952,21468,483,784,464,"4,478",307,705,314,"3,911",602137
XIDELANG HOLDINGS LTD,"XDL  
 ",31/12/2011,3,30/9/2011,24 Nov 2011  ,132942,125248,357254,339446,"32,113","29,588","84,520","79,393","23,978","21,920","63,196","59,008",602140
DAIMAN DEVELOPMENT BHD,"DAIMAN  
 ",30/6/2012,1,30/9/2011,24 Nov 2011  ,42783,35458,42783,35458,"7,670","14,332","7,670","14,332","3,898","12,787","3,898","12,787",602145
SCOMI MARINE BHD,"SCOMIMR  
 ",31/12/2011,3,30/9/2011,24 Nov 2011  ,87961,114089,282622,317941,"8,758","-282,684","22,533","-209,433","7,574","-284,331","18,259","-203,772",602147
CAHYA MATA SARAWAK BERHAD,"CMSB  
 ",31/12/2011,3,30/9/2011,25 Nov 2011  ,240759,232460,725089,659431,"52,740","30,638","140,185","68,611","48,064","31,724","115,478","57,412",602150
SAAG CONSOLIDATED (M) BHD,"SAAG  
 ",31/12/2011,3,30/9/2011,24 Nov 2011  ,15179,23623,39313,79520,"-27,960","9,474","-55,013","11,703","-27,960","9,290","-55,171","11,484",602151
BINTULU PORT HOLDINGS BERHAD,"BIPORT  
 ",31/12/2011,3,30/9/2011,24 Nov 2011  ,117371,111471,358587,336888,"42,546","48,650","137,811","147,447","39,075","36,488","110,771","110,570",602156
IFCA MSC BERHAD,"IFCAMSC  
 ",31/12/2011,3,30/9/2011,24 Nov 2011  ,10063,9286,26628,30864,344,69,625,"2,390",347,16,625,"2,336",602158
TECHNODEX BHD,"TDEX  
 ",31/12/2011,3,30/9/2011,25 Nov 2011  ,2670,202,11746,7553,140,"-6,277","2,397","-10,697",140,"-6,286","2,396","-10,735",602159
TRADEWINDS CORPORATION BERHAD,"TWSCORP  
 ",31/12/2011,3,30/9/2011,25 Nov 2011  ,129141,186100,384863,433181,"10,268","28,469","40,870","67,362","4,382","28,163","25,435","57,677",602160
BERTAM ALLIANCE BERHAD,"BERTAM  
 ",31/12/2011,3,30/9/2011,25 Nov 2011  ,15705,13380,51469,37802,"3,098","2,733","12,985","5,571","1,718","2,347","9,249","4,186",602164
SERN KOU RESOURCES BERHAD,"SERNKOU  
 ",31/12/2011,3,30/9/2011,24 Nov 2011  ,29882,27618,81830,87276,-17,626,632,"3,147",-478,328,342,"2,600",602167
GOH BAN HUAT BERHAD,"GBH  
 ",31/12/2011,3,30/9/2011,24 Nov 2011  ,11460,10036,32115,29908,338,-137,360,"-2,425",338,-138,360,"-2,351",602168
UNIMECH GROUP BERHAD,"UNIMECH  
 ",31/12/2011,3,30/9/2011,24 Nov 2011  ,45301,42860,141997,115131,"7,370","5,896","21,930","17,542","5,471","4,213","16,288","12,917",602171
PALETTE MULTIMEDIA BERHAD,"PALETTE  
 ",31/12/2011,3,30/9/2011,24 Nov 2011  ,1210,212,5088,954,-511,-983,-833,"-2,383",-511,-983,-833,"-2,383",602172
FARM'S BEST BERHAD,"FARMBES  
 ",31/12/2011,3,30/9/2011,24 Nov 2011  ,100301,87581,289680,241359,"6,978","6,231","15,107","1,347","4,211","5,601","11,473",878,602178
MUHIBBAH ENGINEERING (M) BHD,"MUHIBAH  
 ",31/12/2011,3,30/9/2011,24 Nov 2011  ,523722,289134,1431160,1162991,"33,258","21,309","81,629","49,579","22,848","12,597","59,709","33,391",602180
WEIDA (M) BHD,"WEIDA  
 ",31/3/2012,2,30/9/2011,24 Nov 2011  ,54146,76143,104856,144614,"1,555","4,990","4,909","9,790","1,130","3,498","3,464","7,006",602181
MAHAJAYA BERHAD,"MAHJAYA  
 ",30/6/2012,1,30/9/2011,23 Nov 2011  ,29852,34964,29852,34964,"2,138","2,403","2,138","2,403","1,402","1,781","1,402","1,781",602195
POS MALAYSIA BERHAD,"POS  
 ",31/12/2011,3,30/9/2011,23 Nov 2011  ,292623,277441,883986,737642,"42,889","44,935","128,553","89,031","27,102","31,301","86,936","61,027",602203
LII HEN INDUSTRIES BHD.,"LIIHEN  
 ",31/12/2011,3,30/9/2011,23 Nov 2011  ,70822,60516,199920,198828,"3,000","4,744","7,984","22,839","1,619","3,609","5,353","17,233",602204
PARKSON HOLDINGS BERHAD,"PARKSON  
 ",30/6/2012,1,30/9/2011,23 Nov 2011  ,791631,656485,791631,656485,"210,264","168,360","210,264","168,360","155,169","130,350","155,169","130,350",602209
KRISASSETS HOLDINGS BERHAD,"KASSETS  
 ",31/12/2011,3,30/9/2011,22 Nov 2011  ,91023,83576,273131,251551,"80,075","45,680","232,244","179,404","58,097","32,265","170,812","133,871",602228
KESM INDUSTRIES BERHAD,"KESM  
 ",31/7/2012,1,31/10/2011,22 Nov 2011  ,50357,63581,50357,63581,"3,395","8,625","3,395","8,625","2,216","5,994","2,216","5,994",602231
PROTASCO BERHAD,"PRTASCO  
 ",31/12/2011,3,30/9/2011,23 Nov 2011  ,175528,163839,450438,490843,"15,733","29,740","48,130","71,300","10,070","21,724","30,353","52,211",602233
REXIT BERHAD,"REXIT  
 ",30/6/2012,1,30/9/2011,25 Nov 2011  ,3320,4038,3320,4038,"1,030","1,218","1,030","1,218","1,016","1,213","1,016","1,213",602249
AE MULTI HOLDINGS BERHAD,"AEM  
 ",31/12/2011,3,30/9/2011,29 Nov 2011  ,14754,13216,40430,37513,-355,235,"-1,861","-1,623",-355,235,"-1,861","-1,672",602254
